seed,participant_id,trial_no,block_position,ui_variant,scenario,scenario_name,stimulus,url,상태
5,p5,5,1,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=5&scenario=6,
5,p5,6,2,B2,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=5&scenario=1,
5,p5,7,2,B2,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=5&scenario=2,
5,p5,8,2,B2,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=5&scenario=3,
5,p5,9,2,B2,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=5&scenario=5,
5,p5,10,2,B2,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=5&scenario=6,
6,p6,1,1,B2,1,수치측정,wifi500ms,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=6&scenario=1,
6,p6,2,1,B2,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=6&scenario=2,
6,p6,3,1,B2,3,돌발상황,taxi,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=6&scenario=3,
6,p6,4,1,B2,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=6&scenario=5,
6,p6,5,1,B2,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=6&scenario=6,
6,p6,6,2,control_A,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=6&scenario=1,
6,p6,7,2,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=6&scenario=2,
6,p6,8,2,control_A,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=6&scenario=3,
6,p6,9,2,control_A,5,정밀제어,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=6&scenario=5,
6,p6,10,2,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=6&scenario=6,
7,p7,1,1,control_A,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=7&scenario=1,
7,p7,2,1,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=7&scenario=2,
7,p7,3,1,control_A,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=7&scenario=3,
7,p7,4,1,control_A,5,정밀제어,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=7&scenario=5,
7,p7,5,1,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=7&scenario=6,
7,p7,6,2,B2,1,수치측정,wifi500ms,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=7&scenario=1,
7,p7,7,2,B2,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=7&scenario=2,
7,p7,8,2,B2,3,돌발상황,taxi,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=7&scenario=3,
7,p7,9,2,B2,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=7&scenario=5,
7,p7,10,2,B2,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=7&scenario=6,
8,p8,1,1,B2,1,수치측정,battery17%,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=8&scenario=1,
8,p8,2,1,B2,2,신호대기,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=8&scenario=2,
8,p8,3,1,B2,3,돌발상황,bump,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=8&scenario=3,
8,p8,4,1,B2,5,정밀제어,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=8&scenario=5,
8,p8,5,1,B2,6,도착처리,,https://monitoring-nine-rho.vercel.app/?layout=horizontal&pid=8&scenario=6,
8,p8,6,2,control_A,1,수치측정,wifi500ms,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=8&scenario=1,
8,p8,7,2,control_A,2,신호대기,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=8&scenario=2,
8,p8,8,2,control_A,3,돌발상황,taxi,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=8&scenario=3,
8,p8,9,2,control_A,5,정밀제어,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=8&scenario=5,
8,p8,10,2,control_A,6,도착처리,,https://monitoring-nine-rho.vercel.app/remote-control-A.html?pid=8&scenario=6,
